episode,run_0,run_1,run_2
0,True,True,True
1,True,True,True
2,True,True,True
3,True,True,True
4,True,True,True
5,True,True,True
6,True,True,True
7,True,True,True
8,True,True,True
9,True,True,True
10,True,True,True
11,True,True,True
12,True,True,True
13,True,True,True
14,True,True,True
15,True,True,True
16,True,True,True
17,True,True,True
18,True,True,True
19,True,True,True
20,True,True,True
21,True,True,False
22,True,True,True
23,True,True,True
24,True,True,True
25,True,True,True
26,True,True,True
27,True,True,True
28,True,True,True
29,True,True,True
30,True,True,True
31,True,True,True
32,True,True,True
33,True,True,True
34,True,True,True
35,True,True,True
36,True,True,True
37,True,True,True
38,True,True,True
39,True,True,True
40,True,True,True
41,True,True,True
42,True,True,False
43,True,True,True
44,True,True,True
45,True,True,True
46,True,True,True
47,True,True,True
48,True,True,True
49,True,True,True
50,True,True,True
51,True,True,True
52,True,True,True
53,True,True,True
54,True,True,True
55,True,True,True
56,True,True,True
57,True,True,True
58,True,False,True
59,True,False,True
60,True,True,True
61,True,False,True
62,True,True,True
63,True,True,True
64,True,False,True
65,True,True,True
66,True,True,True
67,True,True,True
68,True,True,True
69,True,True,True
70,True,True,True
71,False,True,True
72,True,True,False
73,False,True,True
74,False,False,True
75,False,True,True
76,True,False,True
77,True,True,False
78,True,False,True
79,False,True,True
80,False,True,False
81,True,False,True
82,False,False,True
83,True,False,True
84,True,True,True
85,True,False,True
86,True,False,True
87,True,False,True
88,True,False,True
89,True,False,True
90,True,False,False
91,False,False,False
92,True,False,True
93,True,False,True
94,True,False,True
95,False,True,True
96,False,False,True
97,False,False,True
98,True,False,False
99,False,False,True
100,True,False,False
101,False,False,False
102,True,False,False
103,True,False,True
104,True,False,True
105,False,False,True
106,False,False,False
107,False,False,True
108,True,False,False
109,True,False,False
110,False,False,True
111,True,False,True
112,False,False,True
113,True,True,False
114,True,False,True
115,True,False,True
116,True,False,True
117,True,False,True
118,True,False,False
119,False,False,True
120,True,False,False
121,True,False,True
122,True,False,True
123,True,False,True
124,True,True,True
125,True,False,False
126,True,False,True
127,True,False,True
128,False,False,False
129,True,False,False
130,False,False,False
131,False,False,False
132,True,False,False
133,False,False,False
134,False,True,True
135,False,False,False
136,True,False,True
137,False,False,False
138,True,True,False
139,True,False,False
140,True,False,False
141,True,False,False
142,False,False,True
143,True,False,True
144,False,False,False
145,False,False,False
146,False,False,False
147,False,False,False
148,False,False,True
149,False,False,False
150,False,False,False
151,False,False,False
152,False,False,False
153,False,False,False
154,True,False,False
155,False,False,False
156,True,False,True
157,True,False,False
158,True,False,False
159,False,False,False
160,True,False,False
161,False,False,False
162,False,True,False
163,False,False,False
164,True,True,False
165,False,False,False
166,True,True,False
167,True,False,False
168,False,False,False
169,False,False,False
170,False,False,False
171,True,False,False
172,False,False,False
173,True,False,False
174,False,False,False
175,False,False,False
176,False,False,False
177,False,False,False
178,False,False,False
179,False,True,False
180,True,True,True
181,True,True,False
182,False,True,False
183,False,True,False
184,False,True,False
185,False,True,False
186,False,False,False
187,False,True,False
188,False,False,False
189,False,True,False
190,False,True,False
191,False,False,False
192,False,False,False
193,False,False,False
194,True,True,False
195,False,True,False
196,False,False,False
197,False,False,False
198,False,True,False
199,False,True,False
200,False,True,False
201,False,False,False
202,False,True,False
203,False,False,True
204,False,False,True
205,False,False,True
206,False,False,False
207,False,True,False
208,True,False,False
209,False,False,False
210,False,False,True
211,False,False,True
212,False,False,False
213,False,True,False
214,False,False,False
215,False,True,False
216,False,False,False
217,False,False,False
218,False,True,False
219,False,True,False
220,False,True,True
221,False,False,False
222,False,True,False
223,False,False,False
224,False,True,False
225,False,False,False
226,False,False,False
227,False,True,False
228,True,False,False
229,False,True,False
230,True,False,False
231,True,False,False
232,False,False,False
233,True,False,False
234,False,False,False
235,False,False,False
236,True,False,False
237,False,False,False
238,False,False,False
239,False,False,False
240,False,False,False
241,False,False,False
242,True,False,False
243,False,False,True
244,True,False,False
245,False,False,False
246,True,False,False
247,True,True,True
248,True,False,False
249,True,True,True
250,False,False,False
251,False,False,False
252,True,True,True
253,True,True,False
254,False,True,False
255,False,True,False
256,False,False,False
257,True,True,False
258,False,False,False
259,False,True,False
260,False,True,False
261,True,False,False
262,False,True,False
263,False,False,False
264,False,True,False
265,False,True,False
266,False,False,False
267,False,False,False
268,False,False,False
269,False,True,False
270,False,False,False
271,False,False,False
272,False,False,False
273,False,False,False
274,False,False,False
275,False,False,False
276,False,True,False
277,False,False,False
278,False,False,False
279,False,False,False
280,False,False,False
281,False,False,False
282,False,False,False
283,False,False,False
284,False,False,False
285,False,False,False
286,False,False,False
287,False,False,False
288,False,False,False
289,False,False,False
290,False,True,False
291,False,False,False
292,False,False,False
293,False,False,False
294,False,False,False
295,False,False,True
296,False,False,False
297,False,False,True
298,False,False,False
299,False,False,False
300,False,False,False
301,False,False,False
302,False,False,False
303,False,False,False
304,False,False,False
305,False,False,False
306,False,False,False
307,False,False,False
308,False,False,False
309,False,False,False
310,False,False,False
311,False,False,False
312,False,False,False
313,False,False,False
314,False,True,False
315,False,True,False
316,False,False,False
317,False,False,True
318,False,False,False
319,False,False,False
320,False,False,False
321,False,False,False
322,False,True,True
323,False,False,False
324,False,False,False
325,False,False,False
326,False,False,False
327,False,True,False
328,False,False,True
329,False,False,False
330,False,False,False
331,False,False,True
332,False,False,False
333,False,False,False
334,False,False,False
335,False,False,False
336,False,False,False
337,False,False,False
338,False,False,False
339,False,False,False
340,False,False,False
341,False,False,False
342,False,False,True
343,False,False,False
344,False,False,False
345,False,False,False
346,False,True,False
347,False,False,False
348,False,True,False
349,False,True,False
